MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: http://localhost:3000/api
💾 数据库: MySQL
2026-08-01T12:35:24.178Z - POST /api/user/wechat-login
2026-08-01T12:35:24.185Z - GET /api/settings?userId=76
2026-08-01T12:37:57.671Z - GET /api/user/stats?userId=76
2026-08-01T12:37:57.675Z - GET /api/user/streak?userId=76
2026-08-01T12:37:57.677Z - GET /api/settings?userId=76
2026-08-01T12:37:57.683Z - POST /api/user/wechat-login
2026-08-01T12:37:57.687Z - GET /api/settings?userId=76
2026-08-01T12:38:46.680Z - GET /api/adventure-course/modules
2026-08-01T12:38:52.001Z - GET /api/user/stats?userId=76
2026-08-01T12:38:52.010Z - GET /api/user/streak?userId=76
2026-08-01T12:38:52.023Z - GET /api/settings?userId=76
2026-08-01T12:39:17.051Z - GET /api/user/stats?userId=76
2026-08-01T12:39:17.056Z - GET /api/user/streak?userId=76
2026-08-01T12:39:17.066Z - GET /api/settings?userId=76
2026-08-01T12:39:17.417Z - POST /api/user/wechat-login
2026-08-01T12:39:17.636Z - GET /api/settings?userId=76
2026-08-01T12:40:41.003Z - GET /api/user/stats?userId=76
2026-08-01T12:40:41.089Z - GET /api/user/streak?userId=76
2026-08-01T12:40:41.090Z - GET /api/settings?userId=76
2026-08-01T12:40:41.105Z - GET /api/settings?userId=76
2026-08-01T12:40:41.107Z - POST /api/user/wechat-login
2026-08-01T12:43:58.813Z - GET /api/adventure-course/modules
2026-08-01T12:44:54.199Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T12:44:56.605Z - GET /api/adventure-course/level/scene-001-002/questions
2026-08-01T12:44:56.622Z - GET /api/settings?userId=76
2026-08-01T12:45:18.243Z - POST /api/adventure-course/level/scene-001-002/submit
2026-08-01T12:45:19.814Z - GET /api/adventure-course/level/scene-001-003/questions
2026-08-01T12:45:19.824Z - GET /api/settings?userId=76
2026-08-01T12:45:29.418Z - POST /api/adventure-course/level/scene-001-003/submit
2026-08-01T12:45:33.885Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T12:46:03.859Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T12:46:03.931Z - GET /api/settings?userId=76
2026-08-01T12:46:03.935Z - POST /api/user/wechat-login
2026-08-01T12:46:09.990Z - GET /api/user/stats?userId=76
2026-08-01T12:46:09.994Z - GET /api/user/streak?userId=76
2026-08-01T12:46:09.996Z - GET /api/settings?userId=76
2026-08-01T12:47:30.959Z - GET /api/user/stats?userId=76
2026-08-01T12:47:30.975Z - GET /api/user/streak?userId=76
2026-08-01T12:47:30.977Z - GET /api/settings?userId=76
2026-08-01T12:47:30.981Z - GET /api/settings?userId=76
2026-08-01T12:47:31.471Z - POST /api/user/wechat-login
2026-08-01T12:47:55.920Z - GET /api/adventure-course/modules
2026-08-01T12:47:59.854Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T12:48:03.235Z - GET /api/adventure-course/modules
2026-08-01T12:50:25.957Z - GET /api/user/stats?userId=76
2026-08-01T12:50:25.970Z - GET /api/user/streak?userId=76
2026-08-01T12:50:25.980Z - GET /api/settings?userId=76
